project,revenue_month,work_order,revenue,deductible,invoiced,invoice_date,invoice_no,due_date,collected,collected_date,days,penalties,net_revenue
STC COW,2023-10-01,1708333.3350,1686290.0600,0.0000,1686290.0600,2024-02-11,IN-024375,,1686290.0600,2024-09-16,218,215470.3900,1470819.6700
STC COW,2023-10-01,0.0000,187365.5624,0.0000,187365.5624,2024-07-25,IN-024841,,187365.5624,2024-09-16,53,0.0000,187365.5624
STC COW,2023-11-01,3416666.6700,3074999.2700,0.0000,3074999.2700,2024-02-11,IN-024376,,3074999.2700,2024-06-11,121,392916.5700,2682082.7000
STC COW,2023-11-01,0.0000,341666.5902,0.0000,341666.5902,2024-07-25,IN-024842,,341666.5902,2024-09-16,53,0.0000,341666.5902
STC COW,2023-12-01,3416666.6700,2959365.8320,457300.0281,2959365.8320,2024-07-25,IN-024836,,2959365.8320,2024-09-16,53,392916.5800,2566449.2520
STC COW,2024-01-01,3416666.6700,3155366.6700,261300.0000,3155366.6700,2024-07-25,IN-024837,,3155366.6700,2024-09-16,53,315536.5900,2839830.0800
STC COW,2024-02-01,3416666.6700,3123666.6700,293000.0000,3123666.6700,2024-07-25,IN-024840,,3123666.6700,2024-09-16,53,312366.6000,2811300.0700
STC COW,2024-03-01,3416666.6700,3074999.2700,0.0000,3074999.2700,2024-07-25,IN-024838,,3074999.2741,2024-09-16,53,341666.5900,2733332.6800
STC COW,2024-03-01,0.0000,341666.5900,0.0000,341666.5900,2025-01-16,IN-025257,,341666.5900,2025-01-30,14,0.0000,341666.5900
STC COW,2024-04-01,3416666.6700,2958870.6000,0.0000,2958870.6000,2024-07-25,IN024839,,2958870.6039,2024-09-16,53,328763.3200,2630107.2800
STC COW,2024-04-01,0.0000,328763.4000,0.0000,328763.4000,2024-12-31,IN-025239,,328763.4000,2025-01-30,30,0.0000,328763.4000
STC COW,2024-05-01,3416666.6700,3287633.9100,0.0000,3287633.9100,2025-01-20,IN-025264,,2958870.5100,2025-01-30,10,328763.3190,2958870.5910
STC COW,2024-06-01,3416666.6700,3287634.0000,0.0000,3287634.0000,2024-12-31,IN-025234,,2958870.6043,2025-01-30,30,328763.3190,2958870.6810
STC COW,2024-07-01,3416666.6700,3287634.0000,0.0000,3287634.0000,2024-12-31,IN-025235,,2958870.6000,2025-01-30,30,328763.3190,2958870.6810
STC COW,2024-08-01,3416666.6700,3287634.0000,0.0000,3287634.0000,2024-12-31,IN-025236,,2958870.6000,2025-02-06,37,328763.3190,2958870.6810
STC COW,2024-09-01,3416666.6700,2670633.9900,616999.2000,2670633.9900,2024-12-31,IN-025237,,2497705.1652,2025-01-30,30,172928.8200,2497705.1700
STC COW,2024-10-01,3416666.6700,4169856.9800,21004.8800,4169856.9800,2025-01-16,IN-025258,,4149856.9826,2025-01-30,14,20000.0000,4149856.9800
STC COW,2024-11-01,3416666.6700,3074999.2700,9000.8500,3074999.2700,2025-01-16,IN-025259,,3074999.2696,2025-01-30,14,144500.0000,2930499.2700
STC COW,2024-11-01,0.0000,332666.5500,0.0000,332666.5500,2025-05-22,IN-025439,,332666.5500,2025-07-25,64,0.0000,332666.5500
STC COW,2024-12-01,3416666.6700,3074999.2700,32999.9800,3074999.2700,2025-01-16,IN-025260,,3074999.2696,2025-01-30,14,28000.0000,3046999.2700
STC COW,2024-12-01,0.0000,308666.6000,0.0000,308666.6000,2025-05-22,IN-025440,,308666.6000,2025-07-25,64,0.0000,308666.6000
STC COW,2025-01-01,3416666.6700,3398665.8600,17999.9000,3398665.8600,2025-05-22,IN-025446,,3398665.8600,2025-07-25,64,310000.0000,3088665.8600
STC COW,2025-02-01,3416666.6700,3386665.8600,30000.0000,3386665.8600,2025-05-25,IN-025447,,3386665.8600,2025-07-25,61,71000.0000,3315665.8600
STC COW,2025-03-01,3416666.6700,3389665.8600,27000.0000,3389665.8600,2025-05-26,IN-025449,,3389665.8600,2025-07-25,60,89000.0000,3300665.8600
STC COW,2025-04-01,3416666.6700,3074999.2700,36000.0000,3074999.2700,2025-05-26,IN-025450,,3074999.2700,2025-07-25,60,67000.0000,3007999.2700
STC COW,2025-04-01,0.0000,305666.5600,0.0000,305666.5600,2025-06-24,IN-025512,,305666.5600,2025-08-19,56,0.0000,305666.5600
STC COW,2025-05-01,3416666.6700,3074999.2700,36000.0000,3074999.2700,2025-05-26,IN-025451,,3074999.2700,2025-07-25,60,87000.0000,2987999.2700
STC COW,2025-05-01,0.0000,305666.5600,0.0000,305666.5600,2025-07-22,IN-025569,,305666.5600,2025-09-28,68,0.0000,305666.5600
STC COW,2025-06-01,3416666.6700,3074999.2700,21000.8200,3074999.2700,2025-06-25,IN-025516,,3074999.2700,2025-09-03,70,36000.0000,3038999.2700
STC COW,2025-06-01,0.0000,320666.5800,0.0000,320666.5800,2025-08-13,IN-025629,,320666.5800,2025-10-21,69,0.0000,320666.5800
STC COW,2025-07-01,3416666.6700,2874999.2700,27000.8100,3074999.2700,2025-07-24,IN-025573,,3074999.2700,2025-10-02,70,0.0000,3074999.2700
STC COW,2025-07-01,0.0000,314666.5900,0.0000,314666.5900,2025-09-29,IN-025924,,314666.5900,2025-12-22,84,0.0000,314666.5900
STC COW,2025-08-01,3416666.6700,2874999.2700,27000.8100,3074999.2700,2025-08-13,IN-025630,,3074999.2700,2025-10-21,69,6000.0000,3068999.2700
STC COW,2025-08-01,0.0000,314665.8570,0.0000,314666.5900,2025-11-30,IN-026273,,314666.5900,2026-02-10,72,0.0000,314666.5900
STC COW,2025-09-01,3416666.6700,2874999.2700,0.0000,3074999.2700,2025-09-30,IN-025925,,3074999.2700,2026-03-02,153,67000.0000,3007999.2700
STC COW,2025-09-01,0.0000,341666.5900,0.0000,341666.5900,2025-12-08,IN-026298,,341666.5900,2026-03-08,90,0.0000,341666.5900
STC COW,2025-10-01,3416666.6700,2875000.0030,27000.0000,3074999.2700,2025-12-04,IN-026288,,3074999.2700,2026-02-10,68,24000.0000,3050999.2700
STC COW,2025-10-01,0.0000,314666.6670,0.0000,314666.5900,2026-02-16,IN-026882,,314666.5900,2026-04-21,64,0.0000,314666.5900
STC COW,2025-11-01,3416666.6700,2874999.2700,3000.0000,3074999.2700,2025-12-08,IN-026299,,3074999.2700,2026-02-10,64,307000.0000,2767999.2700
STC COW,2025-11-01,0.0000,338666.5800,0.0000,338666.5800,2026-03-30,IN-026980,,338666.5800,2026-05-19,50,0.0000,338666.5800
STC COW,2025-12-01,3416666.6700,2874999.2700,6000.0000,3074999.2700,2026-02-16,IN026883,,3074999.2700,2026-04-28,71,15000.0000,3059999.2700
STC COW,2025-12-01,0.0000,335666.5600,0.0000,335666.5600,2026-03-31,IN-026990,,335666.5600,2026-06-17,78,0.0000,335666.5600
STC COW,2026-01-01,3416666.6700,2875000.0900,3000.0000,3074999.2700,2026-03-30,IN-026981,,3074999.2700,2026-05-19,50,53000.0000,3021999.2700
STC COW,2026-01-01,0.0000,338666.5800,0.0000,338666.5800,2026-04-23,IN-027052,,338666.5800,2026-06-23,61,0.0000,338666.5800
STC COW,2026-02-01,3416666.6700,2875000.1100,26000.0000,3074999.2700,2026-03-30,IN-026982,,3074999.2700,2026-06-17,79,0.0000,3074999.2700
STC COW,2026-02-01,0.0000,315666.5600,0.0000,315666.5600,2026-04-27,IN-027092,,315666.5600,2026-07-16,80,0.0000,315666.5600
STC COW,2026-03-01,3416666.6700,2874999.2700,3000.0000,3074999.2700,2026-04-27,IN-027091,,3074999.2700,2026-07-02,66,0.0000,3074999.2700
STC COW,2026-03-01,0.0000,338666.5800,0.0000,338666.5800,2026-06-14,IN-027182,2026-08-13,0.0000,,,0.0000,338666.5800
STC COW,2026-04-01,3416666.6700,2875000.0800,0.0000,3074999.2700,2026-05-03,IN-027101,,3074999.2700,2026-07-02,60,12000.0000,3062999.2700
STC COW,2026-04-01,0.0000,341666.5900,0.0000,341666.5900,2026-08-02,IN-027262,2026-10-01,0.0000,,,0.0000,341666.5900
STC COW,2026-05-01,3416666.6700,2875000.0800,0.0000,3074999.2700,2026-06-14,IN-027184,2026-08-13,0.0000,,,112000.0000,2962999.2700
STC COW,2026-05-01,,341666.5900,0.0000,341666.5900,2026-08-02,IN-027260,2026-10-01,0.0000,,,0.0000,341666.5900
STC COW,2026-06-01,3416666.6700,3134665.9000,0.0000,3074999.2700,2026-08-02,IN-027259,2026-10-01,0.0000,,,0.0000,3074999.2700
STC COW,2026-06-01,,,0.0000,,,,,0.0000,,,0.0000,0.0000
STC COW,2026-07-01,3416666.6700,3166665.8900,0.0000,3074999.2700,2026-08-02,IN-027264,2026-10-01,0.0000,,,0.0000,3074999.2700
STC COW,2026-07-01,,,0.0000,,,,,0.0000,,,0.0000,0.0000
Diesel Compensation 2024,2024-12-01,5387339.0000,5387339.0000,0.0000,5387339.0000,2025-01-20,IN-025263,,5387339.0000,2025-01-28,8,0.0000,5387339.0000
Diesel Compensation 2025,2025-01-01,1000000.0000,1000000.0000,0.0000,1000000.0000,2025-06-23,IN-025504,,1000000.0000,2025-08-06,44,0.0000,1000000.0000
Diesel Compensation 2025,2025-02-01,1000000.0000,1000000.0000,0.0000,1000000.0000,2025-06-23,IN-025505,,1000000.0000,2025-08-06,44,0.0000,1000000.0000
Diesel Compensation 2025,2025-03-01,1000000.0000,1000000.0000,0.0000,1000000.0000,2025-06-23,IN-025506,,1000000.0000,2025-08-06,44,0.0000,1000000.0000
Diesel Compensation 2025,2025-04-01,1000000.0000,1000000.0000,0.0000,1000000.0000,2025-06-24,IN-025513,,1000000.0000,2025-08-12,49,0.0000,1000000.0000
Diesel Compensation 2025,2025-05-01,1000000.0000,1000000.0000,0.0000,1000000.0000,2025-06-24,IN-025514,,1000000.0000,2025-08-06,43,0.0000,1000000.0000
